"filename", "language", "TypeScript", "SCSS", "TypeScript JSX", "XML", "JSON with Comments", "JSON", "JavaScript", "Markdown", "HTML", "CSS", "Properties", "comment", "blank", "total"
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/room/ui/details/index.tsx", "TypeScript JSX", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/user/api/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/user/api/useUser.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/user/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/user/model/interface.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 4, 51
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/user/model/useUserModel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entities/user/model/userModel.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entry-client.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/entry-server.tsx", "TypeScript JSX", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/api/authProvider.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 10
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/api/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/api/useAuth.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 62
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/api/useCredentails.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 42
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/model/interface.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/ui/authProvider/index.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/suldemkhirlig-ool/Desktop/yurta/yurta_app_admin/src/features/auth/ui/form/index.tsx", "TypeScript JSX", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
